,rr,_person_id
0,1.0,429
1,0.022727272727272728,107
2,1.0,191
3,0.3333333333333333,99
4,1.0,54
5,1.0,35
6,1.0,468
7,1.0,353
8,0.03225806451612903,40
9,1.0,604
10,0.02857142857142857,145
11,0.25,136
12,0.07692307692307693,130
13,0.018867924528301886,444
14,1.0,284
15,0.01694915254237288,536
16,0.5,134
17,0.1,436
18,1.0,242
19,1.0,314
20,0.25,574
21,1.0,385
22,0.25,349
23,0.024390243902439025,46
24,0.038461538461538464,584
25,0.09090909090909091,476
26,0.1111111111111111,192
27,0.09090909090909091,14
28,1.0,411
29,0.14285714285714285,541
30,0.013888888888888888,273
31,1.0,56
32,1.0,102
33,0.09090909090909091,455
34,0.0625,162
35,0.047619047619047616,229
36,1.0,26
37,0.07692307692307693,447
38,0.3333333333333333,243
39,0.125,592
40,0.017241379310344827,485
41,0.3333333333333333,404
42,1.0,142
43,0.010309278350515464,507
44,0.030303030303030304,394
45,1.0,498
46,1.0,588
47,0.04,8
48,1.0,486
49,1.0,176
50,0.043478260869565216,262
51,0.037037037037037035,170
52,1.0,602
53,0.047619047619047616,179
54,1.0,109
55,0.0625,38
56,1.0,235
57,0.019230769230769232,512
58,1.0,395
59,1.0,386
60,0.1,321
61,1.0,530
62,0.041666666666666664,173
63,1.0,94
64,0.3333333333333333,133
65,1.0,446
66,1.0,117
67,1.0,501
68,1.0,37
69,1.0,81
70,1.0,181
71,0.5,559
72,1.0,6
73,0.07692307692307693,458
74,1.0,126
75,1.0,565
76,0.25,373
77,0.0125,609
78,0.01694915254237288,379
79,0.05263157894736842,5
80,0.012048192771084338,347
81,1.0,121
82,1.0,58
83,0.125,174
84,0.2,340
85,1.0,43
86,0.5,566
87,0.09090909090909091,470
88,1.0,374
89,1.0,240
90,1.0,569
91,1.0,402
92,1.0,31
93,1.0,544
94,1.0,206
95,1.0,269
96,1.0,524
97,1.0,521
98,1.0,270
99,0.013513513513513514,214
100,1.0,451
101,0.5,150
102,1.0,302
103,1.0,529
104,0.5,151
105,0.0625,589
106,0.3333333333333333,90
107,1.0,32
108,1.0,456
109,0.14285714285714285,84
110,1.0,389
111,1.0,276
112,1.0,437
113,0.16666666666666666,120
114,1.0,337
115,1.0,277
116,1.0,492
117,1.0,71
118,0.5,350
119,0.5,171
120,1.0,44
121,1.0,364
122,0.25,372
123,0.5,304
124,1.0,481
125,0.05,360
126,0.047619047619047616,85
127,0.014925373134328358,163
128,0.0625,128
129,0.3333333333333333,297
130,0.5,11
131,0.07142857142857142,283
132,0.5,149
133,0.014925373134328358,467
134,0.07692307692307693,575
135,0.012345679012345678,595
136,0.011235955056179775,535
137,0.16666666666666666,412
138,1.0,201
139,1.0,33
140,0.3333333333333333,156
141,0.021739130434782608,315
142,1.0,268
143,1.0,597
144,0.5,199
145,0.16666666666666666,263
146,0.043478260869565216,208
147,0.03125,547
148,0.058823529411764705,93
149,1.0,140
150,0.02702702702702703,236
151,0.037037037037037035,383
152,1.0,266
153,1.0,554
154,0.09090909090909091,118
155,1.0,115
156,0.04,4
157,1.0,572
158,0.021739130434782608,577
159,0.25,197
160,0.02564102564102564,225
161,0.5,45
162,0.004784688995215311,245
163,0.0625,587
164,1.0,59
165,1.0,603
166,0.25,217
167,1.0,579
168,0.08333333333333333,267
169,1.0,465
170,1.0,414
171,0.16666666666666666,155
172,0.1111111111111111,188
173,0.04,27
174,0.07692307692307693,430
175,0.041666666666666664,607
176,0.3333333333333333,96
177,1.0,1
178,1.0,265
179,0.25,469
180,0.0028653295128939827,333
181,0.3333333333333333,19
182,1.0,57
183,1.0,294
184,0.01694915254237288,571
185,0.07692307692307693,409
186,0.03225806451612903,101
187,0.3333333333333333,591
188,1.0,160
189,0.05555555555555555,368
190,0.07692307692307693,224
191,1.0,453
192,0.04,546
193,0.04,292
194,0.014285714285714285,299
195,1.0,474
196,0.5,450
197,1.0,195
198,0.1,216
199,0.08333333333333333,39
200,0.009174311926605505,324
201,1.0,202
202,0.5,290
203,0.011111111111111112,355
204,1.0,244
205,0.14285714285714285,79
206,1.0,288
207,1.0,555
208,0.5,113
209,0.1111111111111111,422
210,0.08333333333333333,13
211,1.0,410
212,0.05263157894736842,183
213,0.3333333333333333,157
214,0.2,384
215,0.07692307692307693,457
216,0.5,516
217,1.0,42
218,1.0,367
219,0.1111111111111111,164
220,1.0,494
221,1.0,493
222,1.0,234
223,0.07142857142857142,500
224,0.017241379310344827,255
225,0.14285714285714285,238
226,1.0,135
227,1.0,452
228,1.0,448
229,1.0,69
230,0.2,532
231,0.043478260869565216,392
232,1.0,313
233,0.08333333333333333,391
234,1.0,186
235,0.043478260869565216,531
236,1.0,527
237,1.0,198
238,0.5,558
239,0.5,479
240,1.0,325
241,0.02857142857142857,342
242,0.1,108
243,1.0,312
244,0.5,95
245,0.3333333333333333,97
246,0.08333333333333333,185
247,0.01694915254237288,9
248,0.043478260869565216,293
249,0.25,165
250,0.3333333333333333,104
251,1.0,275
252,0.018867924528301886,427
253,0.024390243902439025,449
254,1.0,303
255,0.3333333333333333,20
256,1.0,182
257,0.007633587786259542,518
258,0.04,311
259,0.25,169
260,0.043478260869565216,504
261,0.3333333333333333,232
262,0.5,310
263,1.0,82
264,0.5,425
265,0.08333333333333333,309
266,0.1,66
267,0.5,346
268,0.3333333333333333,387
269,0.125,226
270,0.03125,100
271,0.0625,36
272,0.14285714285714285,482
273,1.0,438
274,1.0,7
275,1.0,23
276,0.1,594
277,0.3333333333333333,260
278,0.125,287
279,0.009345794392523364,194
280,1.0,221
281,0.5,552
282,1.0,428
283,0.041666666666666664,316
284,0.02857142857142857,218
285,1.0,396
286,0.05,502
287,0.1,488
288,1.0,91
289,1.0,608
290,0.25,286
291,0.058823529411764705,336
292,0.008064516129032258,250
293,0.018518518518518517,478
294,0.25,462
295,0.06666666666666667,48
296,1.0,144
297,0.08333333333333333,264
298,0.16666666666666666,510
299,0.016129032258064516,257
300,0.05263157894736842,289
301,0.25,463
302,0.02127659574468085,61
303,0.01098901098901099,259
304,0.09090909090909091,167
305,0.013888888888888888,423
306,1.0,132
307,1.0,68
308,0.05263157894736842,75
309,1.0,370
310,0.1111111111111111,513
311,0.5,64
312,0.25,187
313,0.07142857142857142,34
314,0.14285714285714285,542
315,0.030303030303030304,178
316,1.0,381
317,0.0625,399
318,1.0,129
319,0.5,580
320,0.08333333333333333,473
321,1.0,274
322,1.0,606
323,0.015384615384615385,110
324,0.024390243902439025,161
325,0.3333333333333333,483
326,0.16666666666666666,540
327,0.5,480
328,0.07692307692307693,254
