,rr,_person_id
0,0.3333333333333333,610
1,1.0,294
2,1.0,286
3,1.0,298
4,1.0,82
5,1.0,202
6,0.005376344086021506,341
7,1.0,217
8,1.0,57
9,1.0,21
10,0.14285714285714285,183
11,1.0,414
12,1.0,483
13,1.0,182
14,0.25,509
15,1.0,125
16,1.0,84
17,1.0,140
18,1.0,117
19,0.009433962264150943,520
20,0.3333333333333333,313
21,1.0,443
22,0.25,271
23,1.0,232
24,1.0,131
25,1.0,280
26,1.0,274
27,1.0,590
28,1.0,239
29,1.0,305
30,0.2,525
31,1.0,29
32,0.2,597
33,1.0,372
34,1.0,144
35,1.0,263
36,1.0,168
37,1.0,226
38,1.0,244
39,1.0,249
40,0.25,582
41,1.0,103
42,1.0,68
43,0.0625,255
44,0.5,51
45,0.2,223
46,1.0,91
47,0.3333333333333333,489
48,1.0,116
49,0.3333333333333333,256
50,0.25,606
51,0.3333333333333333,402
52,1.0,111
53,0.14285714285714285,330
54,1.0,603
55,1.0,381
56,1.0,24
57,1.0,105
58,0.030303030303030304,393
59,0.07692307692307693,308
60,0.5,266
61,0.5,534
62,0.3333333333333333,96
63,1.0,453
64,1.0,177
65,0.25,404
66,1.0,41
67,1.0,50
68,1.0,1
69,1.0,48
70,1.0,200
71,0.022222222222222223,410
72,0.3333333333333333,332
73,1.0,599
74,1.0,387
75,1.0,89
76,1.0,215
77,1.0,187
78,0.05555555555555555,432
79,1.0,288
80,1.0,246
81,1.0,4
82,1.0,42
83,0.5,176
84,0.009009009009009009,342
85,0.5,153
86,1.0,222
87,0.16666666666666666,477
88,1.0,219
89,1.0,572
90,0.0026041666666666665,544
91,0.16666666666666666,90
92,0.04,205
93,1.0,235
94,1.0,7
95,1.0,167
96,0.07692307692307693,356
97,0.25,13
98,0.3333333333333333,112
99,1.0,45
100,0.2,172
101,1.0,570
102,0.041666666666666664,257
103,1.0,234
104,0.5,19
105,1.0,292
106,0.5,425
107,0.07692307692307693,383
108,0.029411764705882353,405
109,0.5,434
110,1.0,221
111,1.0,18
112,1.0,156
113,1.0,64
114,0.5,46
115,0.5,191
116,0.14285714285714285,354
117,1.0,76
118,1.0,160
119,0.0625,448
120,1.0,199
121,1.0,62
122,1.0,38
123,0.5,318
124,0.0013175230566534915,546
125,0.05263157894736842,285
126,1.0,335
127,1.0,33
128,0.043478260869565216,184
129,0.1111111111111111,357
130,0.5,241
131,1.0,307
132,1.0,198
133,0.5,211
134,1.0,66
135,1.0,474
136,1.0,148
137,0.022727272727272728,377
138,1.0,78
139,1.0,28
140,1.0,275
141,1.0,93
142,0.02127659574468085,447
143,1.0,17
144,0.5,40
145,0.2,252
146,1.0,100
147,0.09090909090909091,101
148,1.0,109
149,0.5,86
150,1.0,304
151,0.3333333333333333,136
152,1.0,469
153,0.25,186
154,0.3333333333333333,23
155,1.0,141
156,1.0,573
157,0.2,104
158,0.3333333333333333,418
159,1.0,233
160,1.0,70
161,1.0,121
162,1.0,600
163,0.037037037037037035,253
164,1.0,126
165,0.2,129
166,0.5,118
167,1.0,201
168,0.018518518518518517,564
169,0.5,196
170,0.05,259
171,0.5,380
172,0.3333333333333333,302
173,0.2,559
174,1.0,8
175,0.25,95
176,0.0058823529411764705,495
177,0.1111111111111111,514
178,0.05555555555555555,420
179,1.0,268
180,1.0,279
181,0.3333333333333333,83
182,0.08333333333333333,596
183,0.5,428
184,0.3333333333333333,487
185,1.0,480
186,1.0,229
187,1.0,52
188,0.1111111111111111,261
189,1.0,94
190,0.1,216
191,1.0,132
192,0.018518518518518517,461
193,0.5,368
194,0.5,340
195,0.16666666666666666,73
196,1.0,352
197,0.5,351
198,0.011111111111111112,281
199,0.030303030303030304,358
200,0.0024096385542168677,323
201,0.09090909090909091,479
202,1.0,6
203,0.1,157
204,1.0,142
205,1.0,119
206,0.5,490
207,0.14285714285714285,560
208,0.043478260869565216,331
209,0.1111111111111111,236
210,1.0,185
211,1.0,417
212,0.3333333333333333,210
213,0.5,203
214,1.0,608
215,1.0,36
216,0.03571428571428571,270
217,1.0,56
218,0.09090909090909091,151
219,0.03125,310
220,1.0,220
221,1.0,230
222,1.0,391
223,0.5,290
224,1.0,169
225,1.0,282
226,0.2,108
227,0.5,10
228,0.5,195
