,rr,_person_id
0,1.0,429
1,0.037037037037037035,107
2,0.3333333333333333,191
3,0.034482758620689655,99
4,1.0,54
5,1.0,35
6,1.0,468
7,1.0,353
8,1.0,40
9,1.0,604
10,1.0,145
11,1.0,136
12,1.0,130
13,1.0,444
14,1.0,284
15,0.2,536
16,0.5,134
17,0.3333333333333333,436
18,1.0,242
19,1.0,314
20,0.5,574
21,1.0,385
22,0.3333333333333333,349
23,0.5,46
24,1.0,584
25,1.0,476
26,0.5,192
27,0.25,14
28,1.0,411
29,0.3333333333333333,541
30,0.5,273
31,0.3333333333333333,56
32,1.0,102
33,1.0,455
34,0.25,162
35,1.0,229
36,0.5,26
37,1.0,447
38,0.07142857142857142,243
39,1.0,592
40,1.0,485
41,0.25,404
42,1.0,142
43,0.3333333333333333,507
44,1.0,394
45,1.0,498
46,1.0,588
47,1.0,8
48,1.0,486
49,1.0,176
50,0.16666666666666666,262
51,0.5,170
52,1.0,602
53,1.0,179
54,1.0,109
55,1.0,38
56,1.0,235
57,0.5,512
58,1.0,395
59,1.0,386
60,0.3333333333333333,321
61,1.0,530
62,0.3333333333333333,173
63,1.0,94
64,1.0,133
65,1.0,446
66,1.0,117
67,1.0,501
68,1.0,37
69,1.0,81
70,0.5,181
71,0.5,559
72,1.0,6
73,1.0,458
74,1.0,126
75,1.0,565
76,0.5,373
77,0.16666666666666666,609
78,1.0,379
79,1.0,5
80,1.0,347
81,1.0,121
82,1.0,58
83,1.0,174
84,0.08333333333333333,340
85,1.0,43
86,1.0,566
87,1.0,470
88,1.0,374
89,1.0,240
90,1.0,569
91,1.0,402
92,1.0,31
93,1.0,544
94,1.0,206
95,0.5,269
96,1.0,524
97,1.0,521
98,1.0,270
99,1.0,214
100,1.0,451
101,0.3333333333333333,150
102,0.5,302
103,1.0,529
104,0.5,151
105,0.1111111111111111,589
106,0.5,90
107,1.0,32
108,1.0,456
109,0.2,84
110,1.0,389
111,1.0,276
112,1.0,437
113,1.0,120
114,1.0,337
115,1.0,277
116,1.0,492
117,1.0,71
118,0.5,350
119,0.5,171
120,0.5,44
121,1.0,364
122,1.0,372
123,1.0,304
124,0.05555555555555555,481
125,0.04,360
126,0.3333333333333333,85
127,0.0625,163
128,1.0,128
129,0.2,297
130,0.25,11
131,1.0,283
132,0.1111111111111111,149
133,0.3333333333333333,467
134,0.07142857142857142,575
135,0.014285714285714285,595
136,0.5,535
137,0.5,412
138,0.5,201
139,0.5,33
140,0.25,156
141,0.009174311926605505,315
142,0.5,268
143,0.3333333333333333,597
144,0.3333333333333333,199
145,0.5,263
146,0.5,208
147,0.005988023952095809,547
148,0.5,93
149,1.0,140
150,0.041666666666666664,236
151,0.07142857142857142,383
152,1.0,266
153,1.0,554
154,0.07692307692307693,118
155,0.2,115
156,0.5,4
157,1.0,572
158,1.0,577
159,0.5,197
160,0.25,225
161,1.0,45
162,0.005847953216374269,245
163,0.2,587
164,1.0,59
165,1.0,603
166,1.0,217
167,0.25,579
168,0.2,267
169,1.0,465
170,1.0,414
171,0.125,155
172,0.011627906976744186,188
173,1.0,27
174,0.03571428571428571,430
175,0.16666666666666666,607
176,1.0,96
177,1.0,1
178,1.0,265
179,0.3333333333333333,469
180,0.003215434083601286,333
181,1.0,19
182,1.0,57
183,1.0,294
184,0.008771929824561403,571
185,0.16666666666666666,409
186,0.05555555555555555,101
187,0.3333333333333333,591
188,1.0,160
189,1.0,368
190,1.0,224
191,1.0,453
192,0.1111111111111111,546
193,1.0,292
194,0.034482758620689655,299
195,1.0,474
196,0.0625,450
197,1.0,195
198,0.06666666666666667,216
199,0.2,39
200,0.08333333333333333,324
201,1.0,202
202,0.5,290
203,0.14285714285714285,355
204,0.3333333333333333,244
205,1.0,79
206,1.0,288
207,1.0,555
208,0.5,113
209,0.3333333333333333,422
210,1.0,13
211,1.0,410
212,0.08333333333333333,183
213,0.5,157
214,0.5,384
215,0.5,457
216,0.5,516
217,1.0,42
218,0.5,367
219,0.16666666666666666,164
220,1.0,494
221,1.0,493
222,0.3333333333333333,234
223,0.25,500
224,0.07142857142857142,255
225,0.25,238
226,1.0,135
227,1.0,452
228,1.0,448
229,1.0,69
230,0.16666666666666666,532
231,0.16666666666666666,392
232,0.5,313
233,1.0,391
234,1.0,186
235,0.3333333333333333,531
236,1.0,527
237,1.0,198
238,0.3333333333333333,558
239,0.3333333333333333,479
240,0.3333333333333333,325
241,0.02564102564102564,342
242,0.04,108
243,1.0,312
244,0.16666666666666666,95
245,1.0,97
246,0.14285714285714285,185
247,1.0,9
248,0.14285714285714285,293
249,0.3333333333333333,165
250,0.25,104
251,1.0,275
252,0.5,427
253,1.0,449
254,0.09090909090909091,303
255,0.5,20
256,1.0,182
257,0.01818181818181818,518
258,0.010526315789473684,311
259,0.1,169
260,0.25,504
261,1.0,232
262,0.047619047619047616,310
263,0.3333333333333333,82
264,1.0,425
265,1.0,309
266,1.0,66
267,0.5,346
268,1.0,387
269,1.0,226
270,0.125,100
271,0.14285714285714285,36
272,0.25,482
273,1.0,438
274,1.0,7
275,0.05,23
276,1.0,594
277,0.5,260
278,0.25,287
279,0.017241379310344827,194
280,1.0,221
281,1.0,552
282,1.0,428
283,0.2,316
284,0.018867924528301886,218
285,1.0,396
286,0.021739130434782608,502
287,1.0,488
288,1.0,91
289,0.5,608
290,0.5,286
291,0.2,336
292,0.011627906976744186,250
293,0.014925373134328358,478
294,1.0,462
295,0.07692307692307693,48
296,0.25,144
297,0.16666666666666666,264
298,0.5,510
299,0.14285714285714285,257
300,0.01282051282051282,289
301,0.1,463
302,1.0,61
303,0.030303030303030304,259
304,1.0,167
305,0.16666666666666666,423
306,1.0,132
307,1.0,68
308,0.05555555555555555,75
309,1.0,370
310,0.2,513
311,1.0,64
312,1.0,187
313,0.25,34
314,0.14285714285714285,542
315,1.0,178
316,1.0,381
317,0.3333333333333333,399
318,1.0,129
319,1.0,580
320,0.00819672131147541,473
321,1.0,274
322,1.0,606
323,1.0,110
324,0.08333333333333333,161
325,0.5,483
326,0.5,540
327,1.0,480
328,1.0,254
329,1.0,593
330,1.0,570
331,0.018867924528301886,397
332,0.003861003861003861,281
333,1.0,307
334,1.0,573
335,0.3333333333333333,416
336,1.0,166
337,0.5,359
338,0.16666666666666666,278
339,0.5,219
340,1.0,230
341,1.0,354
342,1.0,477
343,0.5,343
344,0.006535947712418301,147
345,1.0,361
346,1.0,137
347,0.3333333333333333,74
348,0.5,301
349,1.0,72
350,0.3333333333333333,322
351,0.5,420
352,0.3333333333333333,553
353,1.0,239
354,0.00425531914893617,138
355,1.0,375
356,0.013888888888888888,403
357,1.0,334
358,0.25,223
359,1.0,356
360,1.0,200
361,1.0,220
362,0.14285714285714285,543
363,0.5,51
364,1.0,318
365,-1.0,175
366,0.05555555555555555,271
367,1.0,28
368,0.3333333333333333,327
369,0.5,369
370,0.018518518518518517,440
371,1.0,600
372,0.004291845493562232,53
373,0.5,172
374,0.008547008547008548,545
375,0.023809523809523808,568
376,0.02564102564102564,12
377,0.030303030303030304,390
378,0.06666666666666667,78
379,1.0,522
380,1.0,590
381,0.25,207
382,1.0,215
383,0.3333333333333333,335
384,0.02564102564102564,127
385,0.041666666666666664,431
386,0.019230769230769232,508
387,0.2,22
388,1.0,180
389,1.0,434
390,0.04,87
391,1.0,464
392,0.2,605
393,0.16666666666666666,454
394,0.016129032258064516,320
395,1.0,330
396,0.041666666666666664,253
397,0.008264462809917356,499
398,0.008771929824561403,158
399,0.009523809523809525,92
400,0.5,405
401,0.014084507042253521,406
402,0.5,505
403,1.0,15
404,0.007936507936507936,578
405,1.0,17
406,0.00641025641025641,3
407,1.0,168
408,0.25,585
409,0.0625,538
410,0.041666666666666664,29
411,0.041666666666666664,398
412,0.01694915254237288,421
413,0.013888888888888888,146
414,0.019230769230769232,55
415,1.0,432
416,0.16666666666666666,213
417,0.5,419
418,0.5,295
419,1.0,326
420,0.25,490
421,1.0,351
422,1.0,520
423,0.07692307692307693,204
424,0.08333333333333333,88
425,0.011235955056179775,442
426,0.2,539
427,0.16666666666666666,489
428,0.3333333333333333,83
429,0.5,503
430,1.0,124
431,1.0,116
432,0.0030864197530864196,358
433,0.1111111111111111,377
434,0.3333333333333333,484
435,0.02127659574468085,345
436,1.0,86
437,0.5,472
438,1.0,249
439,0.05263157894736842,280
440,0.5,357
441,0.5,131
442,1.0,211
443,1.0,332
444,1.0,246
445,0.1,70
446,0.011904761904761904,576
447,0.5,460
448,1.0,228
449,1.0,376
450,0.5,435
451,1.0,562
452,1.0,21
453,0.5,80
454,0.5,16
455,0.5,282
456,0.25,348
457,0.5,415
458,0.005,388
459,0.14285714285714285,203
460,0.5,222
461,0.03333333333333333,528
462,0.0625,60
463,1.0,261
464,0.011904761904761904,371
465,0.5,237
466,0.05,496
467,1.0,443
468,0.2,344
469,0.25,308
470,0.125,323
471,1.0,537
472,0.3333333333333333,407
473,0.003067484662576687,506
474,0.25,533
475,1.0,300
476,0.5,487
477,0.5,497
478,1.0,317
479,0.3333333333333333,393
480,0.1,598
481,0.5,103
482,0.25,231
483,1.0,177
484,0.5,193
485,0.2,119
486,1.0,509
487,1.0,439
488,1.0,76
489,1.0,189
490,0.16666666666666666,341
491,0.16666666666666666,466
492,1.0,563
493,1.0,601
494,0.25,112
495,1.0,63
496,0.5,143
497,0.08333333333333333,378
498,0.3333333333333333,366
499,0.16666666666666666,2
500,1.0,105
501,0.5,256
502,0.3333333333333333,582
503,1.0,581
504,0.25,227
505,1.0,123
506,1.0,298
507,0.3333333333333333,241
508,1.0,233
509,0.16666666666666666,441
510,0.034482758620689655,285
511,1.0,511
512,1.0,152
513,1.0,426
514,0.2,557
515,0.1,291
516,1.0,139
517,1.0,445
518,1.0,18
519,1.0,10
520,0.5,424
521,1.0,495
522,1.0,41
523,0.5,24
524,1.0,534
525,1.0,305
526,0.5,339
527,0.1,196
528,1.0,319
529,1.0,122
530,0.3333333333333333,418
531,0.125,73
532,1.0,549
533,0.3333333333333333,106
534,1.0,408
535,1.0,247
536,0.5,52
537,0.5,560
538,0.2,251
539,1.0,210
540,0.5,125
541,1.0,525
542,0.16666666666666666,564
543,1.0,610
544,0.2,583
545,0.5,148
546,1.0,413
547,0.25,114
548,0.5,154
549,0.3333333333333333,517
550,0.06666666666666667,548
551,0.5,365
552,0.125,550
553,0.25,212
554,1.0,561
555,0.25,49
556,1.0,380
557,1.0,352
558,1.0,328
559,1.0,65
560,1.0,47
561,1.0,471
562,1.0,475
563,0.1,252
564,1.0,599
565,1.0,400
566,0.25,30
567,1.0,67
568,0.125,526
569,0.25,363
570,1.0,523
571,1.0,190
572,0.5,551
573,1.0,461
574,1.0,279
575,0.5,433
576,0.3333333333333333,159
577,0.2,401
578,1.0,141
579,0.25,515
580,0.25,50
581,1.0,382
582,1.0,111
583,0.07692307692307693,306
584,0.5,519
585,0.018518518518518517,205
586,0.02857142857142857,459
587,1.0,89
588,0.5,62
589,0.045454545454545456,491
590,0.5,329
591,0.5,209
592,0.125,567
593,1.0,153
594,0.5,417
595,0.25,586
596,1.0,338
597,1.0,362
598,0.06666666666666667,272
599,0.25,98
600,1.0,296
601,1.0,514
602,0.03571428571428571,556
603,0.25,248
604,1.0,258
605,0.25,77
606,1.0,25
607,1.0,596
608,0.07142857142857142,184
609,1.0,331
