,hits@5_count,hits@10_count,precision@5,precision@10,_person_id
264,0,0,0.0,0.0,71
265,2,3,0.4,0.3,227
266,2,2,0.4,0.2,339
267,0,1,0.0,0.1,88
268,0,0,0.0,0.0,260
269,0,0,0.0,0.0,197
270,0,0,0.0,0.0,317
271,0,0,0.0,0.0,85
272,0,0,0.0,0.0,163
273,0,0,0.0,0.0,301
274,0,0,0.0,0.0,519
275,0,0,0.0,0.0,3
276,0,0,0.0,0.0,137
277,1,1,0.2,0.1,139
278,0,0,0.0,0.0,16
279,0,0,0.0,0.0,188
280,0,0,0.0,0.0,465
281,0,0,0.0,0.0,511
282,0,0,0.0,0.0,550
283,1,1,0.2,0.1,265
284,0,0,0.0,0.0,145
285,0,0,0.0,0.0,521
286,0,0,0.0,0.0,22
287,0,0,0.0,0.0,14
288,0,0,0.0,0.0,605
289,0,1,0.0,0.1,231
290,0,0,0.0,0.0,470
291,0,0,0.0,0.0,240
292,0,0,0.0,0.0,537
293,0,0,0.0,0.0,174
294,0,0,0.0,0.0,472
295,0,0,0.0,0.0,457
296,0,0,0.0,0.0,346
297,1,1,0.2,0.1,561
298,1,1,0.2,0.1,539
299,0,0,0.0,0.0,451
300,2,2,0.4,0.2,59
301,0,0,0.0,0.0,574
302,0,0,0.0,0.0,254
303,1,1,0.2,0.1,77
304,0,0,0.0,0.0,35
305,1,1,0.2,0.1,11
306,0,0,0.0,0.0,488
307,0,0,0.0,0.0,162
308,0,0,0.0,0.0,562
309,0,1,0.0,0.1,385
310,1,3,0.2,0.3,114
311,1,1,0.2,0.1,115
312,0,0,0.0,0.0,438
313,1,2,0.2,0.2,585
314,1,2,0.2,0.2,190
315,0,0,0.0,0.0,486
316,1,1,0.2,0.1,571
317,1,2,0.2,0.2,152
318,0,1,0.0,0.1,284
319,0,1,0.0,0.1,213
320,0,0,0.0,0.0,102
321,0,1,0.0,0.1,580
322,0,0,0.0,0.0,462
323,0,1,0.0,0.1,212
324,0,0,0.0,0.0,460
325,0,0,0.0,0.0,128
326,0,0,0.0,0.0,367
327,0,0,0.0,0.0,503
328,1,1,0.2,0.1,312
329,0,0,0.0,0.0,166
330,1,1,0.2,0.1,592
331,0,0,0.0,0.0,303
332,0,0,0.0,0.0,277
333,0,1,0.0,0.1,49
334,0,0,0.0,0.0,155
335,0,0,0.0,0.0,406
336,0,0,0.0,0.0,366
337,0,0,0.0,0.0,321
338,0,0,0.0,0.0,75
339,0,0,0.0,0.0,542
340,0,0,0.0,0.0,72
341,1,2,0.2,0.2,587
342,0,0,0.0,0.0,392
343,0,0,0.0,0.0,566
344,2,3,0.4,0.3,567
345,1,1,0.2,0.1,278
346,0,1,0.0,0.1,171
347,0,0,0.0,0.0,382
348,1,1,0.2,0.1,209
349,0,0,0.0,0.0,375
350,0,1,0.0,0.1,98
351,1,2,0.2,0.2,336
352,0,0,0.0,0.0,322
353,0,0,0.0,0.0,510
354,0,0,0.0,0.0,113
355,0,0,0.0,0.0,504
356,0,0,0.0,0.0,466
357,0,0,0.0,0.0,297
358,0,1,0.0,0.1,272
359,0,2,0.0,0.2,306
360,0,0,0.0,0.0,43
361,0,1,0.0,0.1,34
362,0,0,0.0,0.0,80
363,0,0,0.0,0.0,577
364,0,0,0.0,0.0,5
365,0,0,0.0,0.0,584
366,0,0,0.0,0.0,25
367,0,0,0.0,0.0,403
368,0,0,0.0,0.0,365
369,0,0,0.0,0.0,609
370,0,0,0.0,0.0,143
371,0,0,0.0,0.0,107
372,0,0,0.0,0.0,243
373,0,0,0.0,0.0,549
374,0,0,0.0,0.0,501
375,0,0,0.0,0.0,311
376,0,0,0.0,0.0,224
377,0,0,0.0,0.0,138
378,0,0,0.0,0.0,601
379,0,0,0.0,0.0,178
380,0,0,0.0,0.0,452
381,0,0,0.0,0.0,31
382,0,0,0.0,0.0,423
383,0,0,0.0,0.0,314
384,0,0,0.0,0.0,496
385,0,0,0.0,0.0,516
386,0,0,0.0,0.0,491
387,0,0,0.0,0.0,130
388,0,1,0.0,0.1,553
389,0,0,0.0,0.0,552
390,0,0,0.0,0.0,179
391,0,0,0.0,0.0,242
392,1,1,0.2,0.1,149
393,0,2,0.0,0.2,15
394,1,1,0.2,0.1,334
395,0,1,0.0,0.1,296
396,1,1,0.2,0.1,398
397,0,0,0.0,0.0,161
398,0,0,0.0,0.0,475
399,0,0,0.0,0.0,374
400,0,0,0.0,0.0,326
